"id_usuario","media_passos_dia","media_calorias_dia","media_minu_ativo_dia","media_minu_sedentario_dia"
8877689391,16424,3429,66,1094
8053475328,14785,2932,85,1139
1503960366,11936,1809,38,834
7007744171,11619,2570,35,1038
2022484408,11595,2500,37,1098
6962181067,10680,2015,27,645
3977333714,10322,1481,17,708
2347167796,9647,2033,13,686
4388161847,8596,2830,18,949
8378563200,8555,3414,58,707
5553957443,8541,1855,23,651
7086361926,8460,2458,38,861
5577150313,8386,3344,86,731
4702921684,8367,2919,4,753
1644430081,7781,2838,11,1130
4319703577,7423,2026,4,748
6117666160,7363,2219,1,814
2873212765,7299,1855,12,1108
4558609924,7155,1977,9,1091
3372868164,6617,1909,10,1080
8583815059,6347,2662,8,1266
1624580081,5167,1434,6,1266
2026352035,4960,1489,0,681
8253242879,4898,1662,15,1313
4445114986,4632,2161,6,840
6290855005,4616,2488,4,1218
2320127002,4276,1671,1,1228
4020332650,4050,2736,5,1159
6775888955,3301,2284,13,1227
1844505072,2876,1585,0,1159
8792009665,2217,1995,1,1012
4057192912,2104,1911,1,1342
6391747486,1337,1763,5,1262
1927972279,1269,2195,1,1216
2891001357,774,2273,0,1100
