"id_usuario","media_minutos_sono","media_minutos_cama","media_hora_sono","media_hora_cama"
1844505072,652,961,11,16
2026352035,506,538,8,9
4319703577,477,502,8,8
5553957443,463,506,8,8
6117666160,479,510,8,8
7086361926,453,466,8,8
1927972279,417,438,7,7
2347167796,447,491,7,8
4388161847,403,426,7,7
4702921684,421,442,7,7
5577150313,432,461,7,8
6962181067,448,466,7,8
8378563200,443,483,7,8
8792009665,436,454,7,8
1503960366,360,383,6,6
4020332650,349,380,6,6
4445114986,385,417,6,7
6775888955,350,369,6,6
1644430081,294,346,5,6
3977333714,294,461,5,8
8053475328,297,302,5,5
4558609924,128,140,2,2
2320127002,61,69,1,1
7007744171,68,72,1,1
